"","title","jcode","vol","no","pages","author1","author2","author3","author4","author5","keyauthor1","keyauthor2","keyauthor3","keyauthor4","keyauthor5","authors"
"1","A Market Test for Discrimination in the English Professional Soccer Leagues",2,108,3,15,"Stefan Szymanski","","","","","OtherAuthor","","","","",1
"2","A Model of Bimetallism",2,108,6,26,"Francois R. Velde","Warren E. Weber","","","","OtherAuthor","OtherAuthor","","","",2
"3","A Ricardian Model with a Continuum of Goods under Nonhomothetic Preferences: D",2,108,6,29,"Kiminori Matsuyama","","","","","Matsuyama","","","","",1
"4","A Theory of Conservatism",2,109,3,21,"Hao Li","","","","","OtherAuthor","","","","",1
"5","Adverse Specialization",2,109,4,37,"Glenn MacDonald","Leslie M. Marx","","","","OtherAuthor","OtherAuthor","","","",2
"6","Age and the Quality of Work: The Case of Modern American Painters",2,108,4,18,"David W. Galenson","Bruce A. Weinberg","","","","Galenson","WEINBERG32","","","",2
"7","An Alternative Approach to Search Frictions",2,108,5,24,"Ricardo Lagos","","","","","Lagos","","","","",1
"8","An Empirical Investigation of the Strategic Use of Debt",2,109,3,15,"Per Pettersson-Lidbom","","","","","OtherAuthor","","","","",1
"9","An Incentive Model of the Effect of Parental Income on Children",2,109,2,16,"Bruce A. Weinberg","","","","","WEINBERG32","","","","",1
"10","Any Non-welfarist Method of Policy Assessment Violates the Pareto Principle",2,109,2,7,"Louis Kaplow","Steven Shavell","","","","OtherAuthor","OtherAuthor","","","",2
"11","Are Invisible Hands Good Hands? Moral Hazard, Competition, and the Second-Best",2,108,5,15,"Martin Gaynor","Deborah Haas-Wilson","William B. Vogt","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"12","Balladurette and Juppette: A Discrete Analysis of Scrapping Subsidies",2,108,4,30,"Jerome Adda","Russell Cooper","","","","OtherAuthor","COOPER21","","","",2
"13","Charity and the Bequest Motive: Evidence from Seventeenth-Century Wills",2,108,6,23,"Leslie Moscow McGranahan","","","","","OtherAuthor","","","","",1
"14","Coalitional Power and Public Goods",2,109,6,31,"Debraj Ray","Rajiv Vohra","","","","Ray17","Vohra","","","",2
"15","Comparative Politics and Public Finance",2,108,6,42,"Torsten Persson","Gerard Roland","Guido Tabellini","","","OtherAuthor","Roland","OtherAuthor","","",3
"16","Competitive Fair Division",2,109,2,27,"Steven J. Brams","D. Marc Kilgour","","","","OtherAuthor","OtherAuthor","","","",2
"17","Consequences of Employment Protection? The Case of the Americans with Disabili",2,109,5,44,"Daron Acemoglu","Joshua D. Angrist","","","","Acemoglu","OtherAuthor","","","",2
"18","Disability Insurance Benefits and Labor Supply",2,108,6,23,"Jonathan Gruber","","","","","Gruber4","","","","",1
"19","Displaced Capital: A Study of Aerospace Plant Closings",2,109,5,36,"Valerie A. Ramey","Matthew D. Shapiro","","","","OtherAuthor","OtherAuthor","","","",2
"20","Does Entrepreneurship Pay? An Empirical Analysis of the Returns to Self-Employ",2,108,3,29,"Barton H. Hamilton","","","","","OtherAuthor","","","","",1
"21","Durable Goods, Coasian Dynamics, and Uncertainty: Theory and Experiments",2,109,6,45,"Timothy N. Cason","Tridib Sharma","","","","OtherAuthor","OtherAuthor","","","",2
"22","Earnings within Education Groups and Overall Productivity Growth",2,108,4,27,"John Laitner","","","","","LAITNER","","","","",1
"23","Endogenous Enfranchisement When Groups' Preferences Conflict",2,109,1,25,"John P. Conley","Akram Temimi","","","","Conley28","OtherAuthor","","","",2
"24","Equilibrium Price Dispersion in Retail Markets for Prescription Drugs",2,108,4,17,"Alan T. Sorensen","","","","","OtherAuthor","","","","",1
"25","Estimating a Bargaining Model with Asymmetric Information: Evidence from Medic",2,108,5,17,"Holger Sieg","","","","","OtherAuthor","","","","",1
"26","Estimating Preferences under Risk: The Case of Racetrack Bettors",2,108,3,29,"Bruno Jullien","Bernard Salanie","","","","OtherAuthor","OtherAuthor","","","",2
