Field1,Field2,Field3,Time
ATILA ABDULKADIROGLU,Atila Abdulkadiroglu,Professor of Economics,Cited by 10566
,,,
JOHN  ABOWD,John ,"Executive Senior Advisor for Research and Methodology, US Census Bureau",Cited by 20796
WILLIAM JAMES ADAMS,William James Adams,"Professor of Economics, University of Michigan",Cited by 3064
VICTOR AGUIRREGABIRIA,Victor Aguirregabiria,"Professor of Economics, University of Toronto, Canada, and CEPR",Cited by 4571
GEORGE ALESSANDRIA,George Alessandria,University of Rochester,Cited by 2170
HASSAN ALY,,,Hassan Aly - Verified email at nu.edu.eg - Cited by 2277
DARON ACEMOGLU,Daron Acemoglu,"Economics, MIT",Cited by 206606
DANIEL ACKERBERG,DANIEL ,"Professor of Economics, University of Texas at Austin",Cited by 7321
PHILIPPE AGHION,Philippe Aghion,"Professor of Economics, INSEAD, London School of Economics and College de France",Cited by 115854
YACINE AIT-SAHALIA,Yacine Ait,"Otto A. Hack 1903 Professor, Princeton University",Cited by 21580
GEORGE AKERLOF,George ,"McCourt School, Georgetown",Cited by 106502
JOHN AKIN,John Akin,Verified email at unc.edu,
JOHN ALLEN,,,John JB Allen - Verified email at Arizona.edu - Cited by 24066
JOSEPH ALTONJI,Joseph Altonji,Yale University,Cited by 27281
FERNANDO ALVAREZ,,,Fernando Alvarez - Verified email at umontreal.ca - Cited by 17241
CHRISTINE E. AMSLER,Christine Amsler,Michigan State University,Cited by 1785
EVAN ANDERSON,Evan Anderson,emory or northwestern,Cited by 24115
ROBERT ANDERSON,,,Cited by 2676
SIMON ANDERSON,,,Simon George ANDERSON - Verified email at manchester.ac.uk - Cited by 15498
RICHARD ANDERSON,,,Richard C. Anderson - Verified email at illinois.edu - Cited by 60757
DANIEL BERKOWITZ,,,Daniel Berkowitz - Verified email at pitt.edu - Cited by 5296
DAN BERNHARDT,Dan Bernhardt,"Professor of Economics, University of Illinois and University of Warwick",Cited by 6162
B. DOUGLAS BERNHEIM,B,"Professor of Economics, Stanford University",Cited by 38012
STEVEN BERRY,Steven Berry,"Professor of Economics, Yale University",Cited by 22645
ROGER BETANCOURT,Roger ,"Professor of Economics, University of Maryland",Cited by 2727
JULIAN BETTS,Julian Betts,"Professor of Economics, University of California, San Diego",Cited by 10519
GARY BIGLAISER,Gary Biglaiser,"Professor of Economic, UNC",Cited by 2605
MARK BILS,Mark Bils,University of Rochester,Cited by 11414
ALBERTO BISIN,alberto bisin,"Professor of Economics, New York University",Cited by 11242
STANLEY BLACK,,,Stanley W Black - Verified email at unc.edu - Cited by 1951
SANDRA BLACK,,,Sandra E. Black - Verified email at sunnybrook.ca - Cited by 75420
OLIVIER J. BLANCHARD,olivier blanchard,"mit, piie",Cited by 127397
DAVID BLAU,David Blau,"Professor of Economics, Ohio State University",Cited by 12506
ANDREAS BLUME,Andreas Blume,"Professor of Economics, University of Arizona",Cited by 2670
MICHELE BOLDRIN,Michele Boldrin,Washington University in St Louis,Cited by 12208
TIM BOLLERSLEV,Tim Bollerslev,Duke University,Cited by 118455
PATRICK BOLTON,PATRICK BOLTON,"Professor of Finance and Economics, Imperial College",Cited by 41428
G. GEOFFREY BOOTH,Geoffrey Booth,"Professor Emirtus, Michigan State Universityl",Cited by 625
KIM C. BORDER,Kim C,"Professor of Economics, Caltech",Cited by 2360
PETER L. BOSSAERTS,Peter bossaerts,University of Cambride,Cited by 11512
SVETLANA BOYARCHENKO,Svetlana Boyarchenko,"Associate Professor in Economics, University of Texas at Austin",Cited by 2406
TIMOTHY E. BRESNAHAN,Timothy Bresnahan,Stanford University,Cited by 31317
PHILIP BROCK,Philip Brock,Associate Professor,Cited by 2069
WILLIAM BROCK,william brock,"professor of economics, university of wisconsin, madison",Cited by 55719
FERNANDO BRONER,Fernando Broner,"CREi, Universitat Pompeu Fabra, and Barcelona GSE",Cited by 3454
GARDNER BROWN,Gardner Brown,"Professor of economics, University of Washington",Cited by 5715
META BROWN,Meta Brown,"Associate Professor of Economics, Ohio State University",Cited by 2111
NEIL BRUCE,,,Neil Bruce - Verified email at mmu.ac.uk - Cited by 1147
JAN K. BRUECKNER,Jan K,"Distinguished Professor of Economics, UC Irvine",Cited by 25398
MARKUS BRUNNERMEIER,Markus Brunnermeier,Princeton University,Cited by 40718
MOSHE BUCHINSKY,Moshe Buchinsky,"Professor of Economics, UCLA",Cited by 7955
CRAIG BURNSIDE,Craig Burnside,"Mary Grace Wilson Professor, Duke University",Cited by 17809
STEPHEN CAMERON,,,Stephen L. Cameron - Verified email at purdue.edu - Cited by 9300
ALESSANDRA CASELLA,Alessandra ,columbia university,Cited by 4214
JOHN CAWLEY,John Cawley,"Professor, Jeb E. Brooks School of Public Policy, and Department of Economics, Cornell",Cited by 18516
STEPHEN G. CECCHETTI,Stephen Cecchetti,Brandeis University,Cited by 21544
KERWIN CHARLES,Kerwin ,Yale Univeristy,Cited by 8612
NANCY H. CHAU,Nancy H,Cornell University,Cited by 2082
MICHAEL CHERNEW,Michael chernew,"Professor of health care policy, Harvard medical school",Cited by 52566
GRACIELA CHICHILNISKY,Graciela Chichilnisky,Columbia University,Cited by 10418
ANDREW CHING,Andrew Ching,"Professor, Carey Business School, Johns Hopkins University",Cited by 2172
RICHARD CLARIDA,richard clarida,"Professor of economics , Columbia university ",Cited by 25601
STEPHEN  COATE,Stephen Coate,"Professor of Economics, Cornell University",Cited by 20014
RUSSELL COOPER,Russell Cooper,Penn State,Cited by 17258
PAUL COURANT,Paul Courant,"Professor of Economics and Public Policy, University of Michigan",Cited by 5762
JULIE BERRY CULLEN,Julie Berry Cullen,"Professor of Economics, UC San Diego",Cited by 4830
RICARDO CABALLERO,ricardo ,"Ford International Professor of Economics, MIT",Cited by 34573
ROGER CALANTONE,Roger ,Michigan State University,Cited by 56619
LAURENT CALVET,Laurent ,"Professor of Finance, EDHEC Business School",Cited by 7144
GUILLERMO CALVO,Guillermo Calvo,"Professor of International and Public Affairs, Columbia University",Cited by 57120
COLIN F. CAMERER,Colin Camerer,Robert Kirby Professor of Behavioral Economics,Cited by 126068
